Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,67.01000213623047,67.0999984741211,66.44000244140625,66.75,62.78211212158203,294400
2020-01-03,66.47000122070312,67.12999725341797,66.37000274658203,67.01000213623047,63.02666473388672,405000
2020-01-06,66.97000122070312,67.05000305175781,66.61000061035156,66.70999908447266,62.744476318359375,348500
2020-01-07,66.7699966430664,67.44000244140625,66.69000244140625,67.22000122070312,63.22418212890625,357400
2020-01-08,67.22000122070312,68.66999816894531,67.19999694824219,67.56999969482422,63.553348541259766,498400
2020-01-09,67.76000213623047,68.25,67.55000305175781,67.88999938964844,63.854347229003906,330100
2020-01-10,67.9800033569336,68.11000061035156,67.58999633789062,67.8499984741211,63.81671905517578,365200
2020-01-13,67.87999725341797,67.9000015258789,66.91000366210938,66.98999786376953,63.00784683227539,564800
2020-01-14,66.70999908447266,67.13999938964844,66.69999694824219,66.97000122070312,62.989051818847656,503300
2020-01-15,67.05999755859375,67.63999938964844,67.05999755859375,67.31999969482422,63.318233489990234,380000
2020-01-16,67.38999938964844,68.12999725341797,67.3499984741211,68.05000305175781,64.00482940673828,444900
2020-01-17,68.12000274658203,68.56999969482422,68.02999877929688,68.37999725341797,64.31522369384766,321500
2020-01-20,68.0999984741211,68.58999633789062,68.0,68.55000305175781,64.47510528564453,180900
2020-01-21,68.5999984741211,68.98999786376953,68.29000091552734,68.79000091552734,64.70084381103516,407600
2020-01-22,68.5999984741211,69.48999786376953,68.55000305175781,69.08999633789062,64.98299407958984,474300
2020-01-23,69.05000305175781,69.69999694824219,68.66999816894531,68.94999694824219,64.851318359375,402600
2020-01-24,69.12000274658203,69.12000274658203,68.62999725341797,68.93000030517578,64.8324966430664,237700
2020-01-27,68.47000122070312,69.80999755859375,68.2699966430664,69.66999816894531,65.52851867675781,369200
2020-01-28,69.62999725341797,69.80000305175781,68.97000122070312,69.26000213623047,65.14290618896484,448800
2020-01-29,69.31999969482422,69.58000183105469,68.68000030517578,69.48999786376953,65.35923767089844,420200
2020-01-30,69.30000305175781,69.95999908447266,69.12999725341797,69.73999786376953,65.59437561035156,424700
2020-01-31,69.62000274658203,69.88999938964844,68.97000122070312,69.23999786376953,65.12408447265625,345000
2020-02-03,69.47000122070312,69.75,69.19000244140625,69.19000244140625,65.07705688476562,297700
2020-02-04,69.52999877929688,69.8499984741211,69.45999908447266,69.54000091552734,65.40625762939453,370900
2020-02-05,69.69000244140625,70.16999816894531,69.33999633789062,69.81999969482422,65.66960144042969,411600
2020-02-06,69.80000305175781,70.69999694824219,69.77999877929688,70.58999633789062,66.39383697509766,305100
2020-02-07,70.62999725341797,70.69999694824219,70.16000366210938,70.4000015258789,66.21514129638672,336200
2020-02-10,70.38999938964844,71.25,70.19999694824219,70.94999694824219,66.7324447631836,219900
2020-02-11,71.01000213623047,71.3499984741211,70.55999755859375,70.73999786376953,66.534912109375,248500
